"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"AS",138,"ANC","ORD",5,1405,345,0.697537,0.121212,0.246527,0.328966,0.693671,0.253572,0.337945,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",3504,"RDU","PHL",1,1130,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"US",347,"PDX","PHX",7,330,148,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",2715,"DFW","LFT",6,630,75,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.737687,0.757576,0.290174,0.174988,0.77573,0.293389,0.395757,0.651066,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"FL",336,"ATL","PHL",2,670,122,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.729657,0.090909,0.146508,0.337945,0.754839,0.194906,0.444286,0.68525,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",1959,"JFK","MCO",5,495,188,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",1316,"BNA","BWI",3,1155,100,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",490,"MDW","HOU",5,1025,170,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.782655,0.787879,0.280563,0.327552,0.697248,0.392843,0.149649,0.781726,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.690043,0.136363,0.035219,0.328966,0.835556,0.100624,0.237129,0.820815,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"XE",2453,"IAH","BRO",1,575,71,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",373,"DFW","SNA",6,765,195,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.873662,0.121212,0.253572,0.465905,0.658988,0.352183,0.371058,0.551783,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",1033,"CLT","MIA",4,1215,127,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.609208,0.818182,0.065598,0.705545,0.523624,0.33763,0.0785,0.710479,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",1352,"AUS","DFW",3,420,65,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",1280,"SJC","DFW",1,380,215,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.802462,0.121212,0.289259,0.380601,0.61106,0.039445,0.380601,0.850693,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",2141,"BOS","LGA",7,1140,81,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.833512,0.106061,0.146508,0.337945,0.754839,0.260807,0.30394,0.769087,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"YV",1014,"OGG","HNL",1,1020,32,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.82334,0.121212,0.324948,0.508561,0.61106,0.204906,0.112493,0.96086,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",4543,"BOI","SLC",7,1050,73,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.809422,0.136363,0.448232,0.527946,0.447364,0.211311,0.286873,0.740968,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"UA",651,"ORD","SAN",5,1210,259,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",871,"SAN","SFO",2,1030,90,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2413,"CVG","RSW",5,555,155,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.802998,0.136363,0.204906,0.569492,0.587408,0.246527,0.41315,0.646375,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"CO",1426,"EWR","SAN",5,1000,360,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",2060,"SMF","LAX",6,550,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2336,"MSP","MKE",7,1180,72,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",2826,"CAE","DFW",5,1070,180,0.63758,0.772727,0.39837,0.363467,0.554885,0.330695,0.360357,0.644772,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",2942,"DFW","CMI",2,1170,115,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,2,"Private",139012,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","Asian-Pac-Islander","Male",0,0,2,"Philippines",0
"WN",1325,"BWI","ISP",4,1095,60,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.74197,0.80303,0.342791,0.428586,0.599079,0.218755,0.279688,0.840172,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AA",2442,"DFW","MSP",4,1065,145,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.95985,0.121212,0.536974,0.746915,0.250203,0.860266,0.807133,0.083872,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"YV",2826,"LGB","PHX",3,585,81,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"XE",2138,"XNA","EWR",4,630,170,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",850,"MIA","IAD",7,1255,150,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2369,"ATL","MCO",2,780,87,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.702355,0.166666,0.253572,0.401925,0.61905,0.095723,0.270686,0.898618,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,2,"Private",187431,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","Black","Male",0,0,2,"United-States",1
"B6",426,"PBI","BOS",1,540,173,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",3344,"DFW","PNS",4,815,100,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.802462,0.106061,0.182195,0.465905,0.61106,0.260807,0.347168,0.769087,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.648822,0.787879,0.303054,0.354433,0.667044,0.359749,0.422194,0.591653,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OO",6404,"SFO","EUG",3,532,92,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.596895,0.757576,0.358805,0.339039,0.499232,0.280563,0.354433,0.667044,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"YV",1037,"HNL","LIH",6,830,37,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.703426,0.757576,0.267297,0.50309,0.591398,0.27127,0.369318,0.651066,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2001,"BOS","ATL",4,810,173,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.78212,0.136363,0.316964,0.41315,0.646375,0.211311,0.328966,0.646375,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"MQ",4179,"MQT","ORD",7,585,85,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"EV",5595,"ATL","EWN",1,1236,87,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.746253,0.106061,0.182195,0.465905,0.850693,0.333147,0.390399,0.671939,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",2692,"PHX","MSP",1,1140,189,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.583512,0.742424,0.267297,0.147647,0.806452,0.225883,0.37251,0.69204,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",2742,"XNA","DFW",5,595,75,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.827623,0.136363,0.352183,0.58152,0.409895,0.281746,0.244784,0.740968,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"UA",590,"ORD","BDL",7,827,128,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.585653,0.742424,0.272032,0.289778,0.69204,0.235577,0.19314,0.818069,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.835653,0.242424,0.330968,0.349251,0.5666,0.265737,0.309832,0.80331,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"YV",2701,"CLT","ILM",5,780,59,0.791756,0.106061,0.140874,0.286873,0.788264,0.767188,0.476858,0.380496,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.752677,0.121212,0.035219,0.328966,0.835556,0.289259,0.465905,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.686295,0.757576,0.381681,0.393723,0.437788,0.244795,0.153699,0.908442,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,0,"Private",245572,"9th",5,"Never-married","Other-service","Own-child","Amer-Indian-Eskimo","Male",0,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.785867,0.757576,0.201247,0.112493,0.916637,0.427435,0.393723,0.529954,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.806745,0.136363,0.211311,0.202692,0.977445,0.253572,0.483471,0.546219,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2810,"FLL","MEM",5,998,162,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"XE",2357,"IAH","LRD",7,1280,68,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"B6",216,"LGB","JFK",4,1271,303,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.502141,0.80303,0.240515,0.09763,0.810949,0.253572,0.32195,0.718894,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",101,"LAX","ATL",1,622,252,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.79925,0.772727,0.308011,0.279026,0.736158,0.393025,0.43508,0.576423,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",3764,"BHM","STL",5,685,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",2670,"ATL","FNT",7,540,125,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.699679,0.121212,0.239667,0.444856,0.540727,0.253572,0.295293,0.706914,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"US",113,"PHL","LAS",6,950,338,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"EV",5528,"PIT","ATL",2,720,119,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.72591,0.136363,0.352183,0.41315,0.551783,0.241265,0.390895,0.568091,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.798715,0.136363,0.204906,0.112493,0.96086,0.316964,0.41315,0.740968,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.827623,0.106061,0.316549,0.408198,0.630797,0.116127,0.347168,0.671939,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.739293,0.742424,0.364326,0.344932,0.661052,0.272032,0.289778,0.69204,0,"Private",168294,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,2,"United-States",1
"OO",7024,"PHX","DEN",5,865,102,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.665418,0.80303,0.288675,0.101255,0.761126,0.253572,0.32195,0.718894,1,"Private",338409,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,2,"Cuba",1
"AS",138,"ANC","ORD",5,1405,345,0.713062,0.757576,0.335928,0.448407,0.499232,0.298183,0.348611,0.688941,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"UA",223,"ORD","PDX",1,485,279,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"FL",1464,"MCO","MDW",6,524,165,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",1091,"ELP","LAS",2,470,115,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.741435,0.136363,0.246527,0.286873,0.740968,0.159104,0.408198,0.673082,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",4309,"SYR","ORD",2,810,130,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",1104,"HNL","SLC",2,1335,366,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"HA",175,"OGG","HNL",1,545,34,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2392,"PHX","MSP",4,742,187,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.703426,0.787879,0.253572,0.32195,0.74885,0.280563,0.246905,0.757661,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.740364,0.757576,0.198667,0.393723,0.745008,0.330695,0.333246,0.644772,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",1172,"PHX","SNA",4,1140,70,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"B6",242,"LGB","OAK",5,1257,75,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2921,"IND","MSP",3,410,115,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"UA",970,"SAN","IAD",6,479,287,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.786403,0.136363,0.352183,0.286873,0.599079,0.176093,0.118507,0.930149,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OH",6437,"RIC","CVG",5,405,118,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.770343,0.772727,0.308011,0.279026,0.736158,0.275876,0.375268,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"MQ",3709,"ATL","ORD",5,845,125,0.865632,0.136363,0.316964,0.328966,0.740968,0.170145,0.32022,0.680771,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.574411,0.80303,0.298183,0.348611,0.658988,0.342791,0.32195,0.718894,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.646681,0.772727,0.33763,0.0785,0.710479,0.421426,0.279026,0.614309,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OO",6249,"ORD","FWA",6,972,51,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.632227,0.772727,0.409705,0.375268,0.599079,0.330695,0.360357,0.644772,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",1727,"ATL","FLL",6,575,129,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"UA",808,"LAX","SFO",1,768,92,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
